Model,Accuracy,Precision,Recall,F1
Gradient Boosting,0.49101983445260033,0.5133273786459077,0.49101983445260033,0.48803324945113497
Logistic Regression,0.4259982299963559,0.4710878940202877,0.4259982299963559,0.4207475520170632
Random Forest,0.5601540944349003,0.5711786576081685,0.5601540944349003,0.5598499460475647
Decision Tree,0.4935186631266594,0.5103976767519401,0.4935186631266594,0.4967726257480109
